CNPJ_Emissora,Codigo_Identificacao_Certificado,Companhia_Emissora,Tipo_Lastro,Detalhamento_Lastro,Numero_Emissao,Nome_Emissao,Data_Emissao,_tipo_certificado
41.811.375/0001-19,23D1293668,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,NOTA COMERCIAL,44.0,CRI MELCHIORETTO,2023-04-26,CRI
41.811.375/0001-19,23D1557666,CANAL COMPANHIA DE SECURITIZAÇÃO,Créditos,NOTA COMERCIAL,45.0,CRI PORTE,2023-04-20,CRI
41.811.375/0001-19,25A3992922,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Notas Comerciais,130.0,CRI ALIFE NINO,2025-02-25,CRI
41.811.375/0001-19,25K3017244,CANAL COMPANHIA DE SECURITIZAÇÃO,Créditos,Nota Comercial,167.0,CRI ABECKER III,2025-11-21,CRI
41.811.375/0001-19,25L4042871,CANAL COMPANHIA DE SECURITIZAÇÃO,Créditos,Créditos Imobiliários,179.0,CRI VITACON,2025-12-19,CRI
41.811.375/0001-19,26A3745791,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Créditos Imobiliários,175.0,CRI MAXXIMA,2026-01-15,CRI
41.811.375/0001-19,BRCASCCRI059,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Debênture,12.0,CRI EMBRAED (EQI),2022-10-21,CRI
41.811.375/0001-19,BRCASCCRI083,CANAL COMPANHIA DE SECURITIZAÇÃO,Créditos,Creditos de Locação,10.0,CRI HOSPITAL CASA,2022-09-16,CRI
41.811.375/0001-19,BRCASCCRI0B6,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Cédula de Crédito Bancário,22.0,CRI DE SANTI,2022-12-21,CRI
41.811.375/0001-19,BRCASCCRI0C4,CANAL COMPANHIA DE SECURITIZAÇÃO,Créditos,Nota Comercial,21.0,CRI LYON,2022-12-22,CRI
41.811.375/0001-19,BRCASCCRI0D2,CANAL COMPANHIA DE SECURITIZAÇÃO,Créditos,Contrato de Locação,33.0,CRI FORGREEN,2023-02-10,CRI
41.811.375/0001-19,BRCASCCRI0G5,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,NOTA COMERCIAL,38.0,CRI SAN GERARDO,2023-03-10,CRI
41.811.375/0001-19,BRCASCCRI0J9,CANAL COMPANHIA DE SECURITIZAÇÃO,Créditos,Cédula de Crédito Bancário,25.0,CRI VITORIA TOWER,2022-12-23,CRI
41.811.375/0001-19,BRCASCCRI0M3,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,NOTA COMERCIAL,46.0,CRI WT GRU,2023-05-15,CRI
41.811.375/0001-19,BRCASCCRI0O9,CANAL COMPANHIA DE SECURITIZAÇÃO,Créditos,Contrato de Locação,51.0,CRI HABIB'S,2023-06-14,CRI
41.811.375/0001-19,BRCASCCRI0S0,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Nota Comercial,48.0,CRI GALAPAGOS,2023-06-22,CRI
41.811.375/0001-19,BRCASCCRI0T8,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Nota Comercial,52.0,CRI REAL SUPERMERCADOS,2023-06-14,CRI
41.811.375/0001-19,BRCASCCRI0U6,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Nota Comercial,47.0,CRI VISTAMAR,2023-05-30,CRI
41.811.375/0001-19,BRCASCCRI0V4,CANAL COMPANHIA DE SECURITIZAÇÃO,Créditos,Contrato de Locação,49.0,CRI LBV,2023-07-05,CRI
41.811.375/0001-19,BRCASCCRI133,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Célula de Crédito Imobiliário,50.0,CRI BRASOL,2023-08-14,CRI
41.811.375/0001-19,BRCASCCRI166,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Debênture,35.0,CRI HCC,2023-08-22,CRI
41.811.375/0001-19,BRCASCCRI190,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Nota Comercial,61.0,CRI COLMEIA LA MAISON,2023-09-29,CRI
41.811.375/0001-19,BRCASCCRI1C2,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Nota Comercial,62.0,CRI STATION,2023-10-05,CRI
41.811.375/0001-19,BRCASCCRI1H1,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Nota Comercial,60.0,CRI VECTRA,2023-10-10,CRI
41.811.375/0001-19,BRCASCCRI1I9,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Notas Comerciais Escriturais,59.0,CRI FAMETRO,2023-10-19,CRI
41.811.375/0001-19,BRCASCCRI1K5,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Debênture,43.0,CRI EMBRAED (GENIAL),2023-05-04,CRI
41.811.375/0001-19,BRCASCCRI1T6,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Nota Comercial,65.0,CRI VISCONDE,2023-11-22,CRI
41.811.375/0001-19,BRCASCCRI265,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Letra Financeira,66.0,CRI BR PARTNERS,2023-12-18,CRI
41.811.375/0001-19,BRCASCCRI2A4,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Cédula de Crédito Imobiliário,70.0,CRI BRASOL II,2023-11-30,CRI
41.811.375/0001-19,BRCASCCRI2C0,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Built to Suit,69.0,CRI PIRELLI,2023-12-12,CRI
41.811.375/0001-19,BRCASCCRI2D8,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Notas Comerciais,71.0,CRI GUAIU,2023-12-06,CRI
41.811.375/0001-19,BRCASCCRI2I7,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Cédula de crédito imobiliário,77.0,CRI CONSTROEN,2023-12-19,CRI
41.811.375/0001-19,BRCASCCRI2P2,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Cédula de crédito imobiliário,78.0,CRI HORTO,2024-01-08,CRI
41.811.375/0001-19,BRCASCCRI2U2,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Notas Comerciais,80.0,CRI VCA,2024-01-19,CRI
41.811.375/0001-19,BRCASCCRI331,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Cédula de Crédito Imobiliário,82.0,CRI HUM,2024-02-26,CRI
